N1	N2	Na	Tsplit
0.28066	20.94167	4.78220	17.70205 
11.95114	24.64314	7.24053	13.74015 
8.30197	12.91998	8.77370	20.35640 
24.79746	20.45439	12.21033	27.74681 
13.58785	23.52836	14.51915	22.32514 
16.39354	21.99611	15.14093	11.90353 
5.96487	21.37974	1.59495	28.19966 
10.38155	26.00726	6.64769	27.64587 
17.28442	13.79758	1.27993	23.82249 
19.93115	12.90609	15.62154	14.53641 
0.54408	25.98598	17.56197	16.81936 
6.98277	6.93216	1.34807	9.63156 
27.55023	29.15071	22.71543	16.10972 
17.94312	3.76126	2.12912	0.87504 
28.07345	21.69244	4.50547	10.01345 
15.93305	15.18989	14.57479	2.18326 
1.71085	10.44818	3.45769	21.20433 
28.54796	4.22159	22.71552	13.93103 
7.11681	7.19340	20.79438	3.46018 
0.47700	0.29453	8.41296	8.14613 
22.65310	0.53450	10.61222	12.62052 
5.61761	9.54711	11.00819	6.06888 
29.67263	28.66343	3.99573	16.72560 
24.03896	1.98560	10.23405	23.04890 
28.93428	7.49869	17.19769	2.09127 
23.86689	3.87856	0.36975	26.83860 
9.61861	19.44966	22.19898	29.59618 
17.09242	14.07388	25.29984	2.34909 
11.19384	8.23023	3.71582	2.77965 
2.86650	29.80665	9.47202	6.65425 
6.73313	1.51014	25.14583	25.53284 
10.60635	15.50638	22.99601	28.92218 
9.19788	6.62359	14.43547	8.96697 
11.47427	9.12430	28.69395	21.49817 
24.54318	15.05852	0.64606	26.98095 
25.68241	24.18637	11.72072	20.79046 
16.27232	24.78627	5.43913	11.24408 
26.21849	28.76081	16.47448	11.80448 
14.39849	15.57168	2.23470	25.70824 
26.08839	6.13970	27.54517	11.93977 
26.53810	13.84518	8.97562	16.93192 
20.95295	6.82456	29.65310	17.11729 
15.50557	16.13166	22.34964	15.43374 
5.05758	4.91250	23.27711	16.96627 
11.06510	24.44789	23.11874	29.13820 
27.77576	5.93584	25.58169	13.45709 
5.50033	24.07193	10.02740	6.22165 
8.96269	7.67879	26.88114	10.22502 
24.15879	24.00465	17.53129	8.55605 
17.58631	21.87006	9.67432	27.35816 
6.81756	19.28576	12.74928	11.46008 
19.95635	8.02262	17.55653	6.22140 
0.16212	16.20288	22.72569	17.27163 
27.50643	16.97266	1.50865	28.82264 
19.38459	23.09681	16.61476	18.09426 
28.93032	14.28323	15.42140	29.53080 
15.24710	16.33622	27.79600	9.36935 
16.61569	15.18225	19.86701	2.05260 
5.12709	27.66020	4.11918	9.98008 
12.93852	13.12035	13.36438	20.34215 
18.00951	25.22134	4.03096	23.74594 
28.29541	26.88606	9.90482	9.00255 
23.13283	14.51749	11.43444	11.22266 
1.83209	8.60699	14.66798	7.59251 
8.23820	11.41075	14.67536	24.70472 
3.65144	26.78873	5.45365	14.67712 
0.86833	14.22681	27.71347	17.87833 
12.18358	8.76928	4.82710	28.88993 
25.01348	1.79622	0.26765	0.37065 
13.50504	29.48192	7.88868	18.20226 
15.83310	15.66263	20.62733	2.71170 
4.31290	7.68163	6.60684	18.86645 
15.35934	11.71120	29.51550	12.66851 
20.77328	3.86290	11.93204	1.54412 
7.31262	13.22482	29.22421	16.52141 
10.81686	18.09240	13.57978	20.31389 
1.96513	8.80672	27.07708	22.77497 
21.62322	13.88568	13.28398	26.15664 
19.62142	4.59044	6.83843	19.65691 
3.13676	24.51936	24.98474	3.70140 
23.88090	1.96262	14.12795	2.61282 
17.29127	13.81963	23.94212	1.97066 
6.16688	0.96035	23.90682	15.83841 
1.97227	13.37384	15.30764	15.52015 
18.23857	14.16942	8.02393	27.04118 
25.11409	25.21909	8.41071	1.86749 
4.20652	11.02870	20.68686	5.31225 
17.74426	0.51919	29.14491	0.83042 
21.29448	0.40907	20.42235	17.43799 
5.51819	4.15783	8.47627	15.10865 
20.51550	5.80150	12.60847	21.27346 
8.80398	23.43960	21.05995	2.62972 
29.60069	10.33022	17.68829	14.85546 
0.80919	22.41491	25.03817	3.23000 
3.98163	15.65541	5.93384	23.45059 
11.92520	8.71002	12.42166	25.86814 
20.93110	8.53483	9.17410	3.03513 
9.43109	27.16965	6.61106	24.47859 
11.74161	20.66600	5.19640	15.44884 
20.93302	21.91437	17.27757	9.00257 
26.99939	23.82321	11.90295	11.60715 
10.77442	14.10112	19.36180	8.72423 
21.13872	18.50997	10.31609	4.86079 
11.91564	21.18135	8.28238	21.94070 
21.33442	3.89400	26.79870	6.75772 
24.83938	14.97486	4.69465	24.44175 
16.75456	2.62027	9.33415	18.80979 
29.69357	14.43144	6.30460	9.48647 
12.49294	29.99624	5.02958	9.62728 
23.38331	18.39228	9.37374	5.22776 
4.00523	0.32405	27.21237	2.03894 
8.74348	11.73770	20.48592	11.81329 
8.06966	12.68117	14.28863	13.17078 
3.89440	26.56724	17.18578	4.37032 
28.27571	12.85637	26.81016	6.68377 
20.18357	11.75999	14.46078	23.10220 
26.61047	0.49675	21.91021	1.10094 
1.45556	25.63496	6.06149	4.02337 
14.04300	27.35188	8.75340	23.04373 
15.21465	22.25002	0.89626	15.30523 
5.32876	1.37180	19.57009	4.09340 
15.84263	10.11726	20.04692	19.98004 
12.86753	1.82125	17.23525	20.13550 
0.83906	4.35311	25.06190	11.17863 
8.59812	20.31162	24.32853	23.10871 
12.93433	12.46949	28.29294	26.81249 
6.03588	4.21297	3.50659	6.05174 
21.00528	17.56087	11.50095	18.20707 
18.01522	26.76828	21.40798	3.41919 
18.46578	5.26536	18.65971	4.04925 
23.19308	11.59339	19.45530	5.36819 
20.21274	23.24967	8.55435	27.80656 
10.53762	18.78656	19.69461	22.92274 
17.63222	11.63456	29.33758	10.04766 
5.39371	11.71636	11.24269	29.72844 
3.07105	22.44972	17.01849	24.32032 
28.23240	29.09405	6.99596	2.29152 
19.49648	3.06214	7.92585	2.98803 
27.68268	20.30938	12.17064	26.85559 
3.42502	26.32368	21.57670	19.08822 
10.96364	18.78095	25.65899	29.21542 
25.57147	16.22430	26.68179	4.72794 
21.55970	13.06377	25.85539	26.99111 
19.31078	7.14303	17.27787	27.56615 
25.07711	3.16604	20.29040	25.21481 
10.64754	0.96911	25.12439	12.41887 
14.53515	12.54045	9.56475	14.17846 
2.93475	7.60452	25.55233	17.34272 
18.64964	0.10657	8.56748	6.99642 
14.17710	23.94464	25.68294	10.07825 
17.43730	3.89626	1.25620	12.91251 
1.45959	21.80573	23.79244	19.19024 
1.33314	7.41703	16.56618	28.76351 
6.92980	5.90591	25.47172	9.36874 
20.70402	19.00843	21.63525	2.51601 
6.35579	5.74321	9.23961	9.27373 
4.17493	12.75611	10.19018	18.52348 
28.28055	26.55270	18.98701	12.48194 
22.32915	11.68268	14.44549	26.12096 
10.47284	1.75627	26.15266	23.06408 
25.70944	14.50067	7.64911	4.04670 
13.21589	3.65939	15.92364	16.54342 
29.92842	15.08276	4.19859	23.60495 
16.70274	26.10186	5.64418	25.20488 
20.06976	24.87671	0.38258	27.35876 
11.87692	22.45357	6.95793	15.15841 
18.49680	1.82712	22.53847	2.93598 
22.64640	5.47531	19.36359	17.33017 
14.94993	23.96638	21.09446	21.50425 
13.03623	9.01615	19.02496	3.28265 
20.29051	2.86966	14.73288	10.52989 
26.50093	10.93333	15.18000	0.32261 
0.98162	18.35050	12.50131	9.99754 
22.06973	12.73332	29.53164	17.44395 
26.32513	28.07910	6.70568	22.69654 
12.13425	6.65326	16.56992	26.74197 
5.23337	20.06737	8.97658	20.19598 
0.19386	2.47048	1.89594	9.40026 
23.86396	6.79294	21.34122	24.98501 
6.64377	21.05388	23.80666	29.72864 
18.63755	3.39142	1.46515	23.06936 
2.05097	18.88938	20.84012	1.65356 
11.95275	8.46041	16.50354	13.79802 
17.24864	1.62820	13.49752	6.81359 
28.30572	9.98382	1.67081	15.07540 
15.86157	8.32054	6.03068	9.75569 
29.27367	20.97850	3.97503	5.71331 
17.33081	27.56426	16.63737	11.15963 
17.92248	18.93257	5.91112	15.96445 
1.71316	26.05703	4.57556	23.81754 
12.82273	26.37596	0.02108	25.79301 
6.31507	3.59351	25.51014	18.73816 
26.84834	17.65403	27.63097	7.09708 
2.21486	18.67637	3.15538	8.63348 
28.54987	17.50259	6.38728	1.75648 
11.92761	20.72715	2.71267	10.84875 
21.23379	15.83331	2.76972	16.57884 
13.02417	15.06400	12.63345	5.18630 
14.27426	1.26139	9.48786	27.70032 
13.95021	2.24357	24.87061	3.09970 
22.41791	7.37224	14.61324	23.79596 
20.84504	2.62698	9.72799	7.93526 
27.81328	10.74466	8.11363	19.59932 
10.85634	19.11796	10.28859	6.66242 
20.87110	10.15472	26.65932	13.56892 
18.82174	13.54044	15.05834	5.47972 
8.97995	22.96311	29.02911	0.68100 
13.80168	29.23170	12.51919	24.17806 
10.49002	3.01482	6.07205	25.28255 
28.65247	17.67534	23.39531	12.13675 
12.88937	19.98389	15.98768	0.77769 
12.53023	0.00851	9.41312	1.19337 
22.39202	5.88628	1.37054	17.56384 
1.75481	24.59232	11.56581	4.28924 
5.78644	28.10127	18.40327	4.90141 
5.33750	27.92448	19.04527	28.58051 
18.43229	19.28024	7.75978	21.29119 
19.52154	16.89473	26.87227	16.02400 
16.33472	13.03424	27.59778	7.60473 
5.93363	20.86738	6.74241	8.12280 
21.05559	8.61836	0.63495	20.49742 
2.85640	11.26018	9.60275	21.18798 
12.99548	27.99799	5.31856	1.21167 
0.02564	22.80449	23.05593	27.14567 
28.92015	16.74059	28.98889	15.20714 
29.28087	22.66243	12.15721	11.97002 
28.13130	26.50566	3.40780	15.90294 
18.87338	13.69785	13.06166	13.69257 
20.51293	7.46432	12.14429	3.50250 
16.11008	9.37359	5.02512	7.69496 
8.91959	14.27818	2.89558	0.04925 
3.00893	28.68179	5.05103	24.25897 
15.98491	10.11762	14.31601	23.46240 
27.27139	8.95569	20.97639	21.24112 
0.76189	9.34927	20.51785	13.80181 
2.82569	14.44642	2.03822	12.27637 
8.51298	0.82189	24.50808	29.04060 
25.15460	28.83623	9.82956	14.40945 
29.17419	7.57770	10.14333	29.73074 
24.32581	16.62704	1.40710	19.73187 
12.38780	27.91008	18.12213	7.12842 
24.49618	2.54263	9.53777	11.67540 
8.24043	2.83151	10.92595	13.70690 
2.26474	2.72027	13.33643	19.01829 
15.81771	3.99670	14.31367	25.34799 
29.91955	4.26718	25.97609	25.46545 
27.69799	9.81180	14.31942	4.35244 
0.41412	28.09222	24.61886	3.91576 
28.28955	0.81297	16.43050	26.36508 
8.17433	17.54530	21.13757	7.12890 
13.70628	14.77739	25.04903	17.35867 
16.43340	7.61466	28.25981	21.13605 
2.44147	10.64321	27.37145	28.05739 
3.69360	7.07402	13.90029	18.60757 
28.78378	17.38927	22.19695	9.40733 
19.00967	26.11044	18.96465	11.96386 
4.54559	24.48997	16.42663	4.57508 
11.75427	18.15607	4.72669	11.61966 
11.75960	10.70788	13.54101	22.30259 
13.58297	18.40009	0.04627	14.92109 
8.62223	12.31520	22.28023	21.89871 
10.87589	17.85052	16.74396	7.39165 
11.10491	7.82090	25.53788	23.49530 
9.10701	9.46882	7.32216	27.57416 
24.19389	10.47869	6.39739	12.09300 
6.81083	19.05923	19.94440	4.23750 
26.93768	15.24550	9.70512	5.12646 
29.98481	27.70951	2.10422	18.65178 
17.46398	25.69357	15.96120	9.97121 
12.45793	10.59980	6.94750	20.19693 
19.31028	25.20012	18.93933	15.13337 
14.13414	10.97779	9.52690	15.33218 
27.18912	0.43231	19.20503	21.57263 
9.90075	20.41178	18.26183	3.01408 
26.62675	7.39414	21.27854	20.22781 
5.02351	21.96150	17.40069	20.56648 
16.35554	1.90193	0.23918	24.06832 
25.96487	14.86712	15.82908	19.06323 
4.75693	11.08795	6.86587	8.77838 
10.37901	7.20123	11.99058	13.32744 
5.74805	5.75373	7.40513	18.97449 
20.92061	12.76505	18.63930	11.62824 
15.69779	1.94203	29.71393	3.08893 
7.71067	28.50248	26.95492	18.69039 
0.83580	14.62945	16.00631	22.98796 
1.45835	23.78067	9.18016	18.39458 
21.58876	12.97234	21.56923	0.62240 
25.22670	19.24571	29.84634	22.35090 
5.47966	1.74412	19.42744	8.10263 
17.96651	2.09547	17.11207	21.26162 
18.35900	17.63298	6.45116	3.67471 
10.99849	15.41134	5.18281	19.49196 
28.74129	13.04623	29.65827	10.70146 
4.03641	28.71714	3.93467	9.85431 
1.62057	12.92260	15.92506	16.91511 
7.41565	4.44265	24.53326	12.72663 
23.09866	24.92180	24.16822	0.30414 
14.65165	17.90783	21.41564	24.34951 
25.60104	24.49077	12.10016	14.23180 
9.93857	28.90505	2.79837	29.34103 
26.48320	24.09569	7.90128	21.07623 
22.82642	10.57496	27.31030	9.86108 
15.27556	21.29952	5.65315	0.80364 
18.21814	23.50497	23.07386	3.59632 
9.69972	0.38654	4.18455	27.56039 
12.71677	20.50517	25.86574	15.58958 
16.95995	21.59948	23.14630	18.22249 
17.28340	17.92929	9.69824	10.47741 
25.60829	21.07201	11.67499	25.23960 
8.49473	20.67095	22.16649	7.84943 
2.06670	20.66685	18.44289	1.79217 
16.74431	9.20159	7.58286	0.37431 
3.77719	3.76239	1.73628	26.56193 
4.82739	26.99212	2.09534	22.11956 
7.10723	19.75904	17.85722	18.36741 
15.96902	7.41350	9.48694	26.64601 
9.42593	22.35482	12.60401	17.31400 
10.27218	14.07535	18.72137	22.25946 
5.84781	26.57314	2.10900	22.16297 
26.46529	2.65963	3.85319	5.61511 
21.68598	8.31489	13.96393	10.59478 
26.72814	8.97535	22.12416	26.22217 
17.17429	27.67557	29.24616	6.00235 
13.96176	18.39403	25.78891	14.77334 
14.76784	0.59132	5.06508	11.44765 
21.23554	11.14631	24.87047	4.67007 
8.16087	13.73132	7.28088	25.00301 
22.32505	6.47130	26.37240	0.18243 
3.62810	10.65648	27.18397	11.15538 
15.48654	23.83568	9.94013	23.57527 
12.05617	28.49273	8.17761	1.86102 
12.16437	27.47804	15.68540	29.10581 
26.10519	25.84587	17.43560	14.95330 
25.25222	29.80776	11.95129	27.68766 
20.58174	20.67890	1.08454	9.61116 
24.40812	29.76296	13.33138	12.69359 
1.16494	11.21090	21.23797	22.78230 
3.13895	24.09181	29.78639	4.28072 
15.63949	20.55211	0.21067	10.58265 
17.78892	11.65281	9.53723	29.02959 
3.51306	8.72211	14.87095	14.60765 
4.32863	8.78692	18.86329	19.80985 
17.42991	4.72079	8.33173	17.95944 
21.90076	20.75922	12.46729	12.97813 
10.33312	1.48377	1.48586	15.56580 
8.03687	8.49454	8.08051	9.87282 
17.50493	24.78703	23.16428	15.01061 
27.02679	17.49368	4.46370	29.71035 
4.75190	24.82057	17.98107	18.86255 
10.33654	22.84555	19.11621	15.92251 
20.86899	23.71778	9.19852	14.84361 
8.96719	21.91159	10.31677	8.77991 
1.42199	11.38184	28.09097	21.72709 
1.05428	0.60112	15.19275	21.43900 
0.06024	0.09630	29.65438	26.38569 
13.68042	3.18086	14.03455	23.67774 
24.24191	28.73089	24.82576	3.95053 
27.53625	25.80462	25.72335	15.29235 
5.93980	23.42117	25.52395	4.49928 
1.24346	8.36153	7.62155	18.55519 
4.72058	23.80198	10.77690	23.53171 
4.87130	10.07912	19.79954	21.94850 
3.98114	28.13309	16.46181	19.62271 
18.40402	9.03028	9.20125	28.69463 
24.87659	8.22149	21.50952	9.77685 
24.43774	14.54937	7.46571	9.36004 
5.56194	11.30599	2.30445	2.93102 
6.78579	10.44905	10.34214	28.99074 
11.41018	0.53994	25.28364	11.79914 
9.81092	0.90639	24.90485	15.62975 
25.34174	0.84211	13.50423	2.52356 
0.53304	12.55849	3.89496	14.52176 
0.90243	17.45832	23.94598	19.24149 
15.32415	10.62655	22.08468	29.50993 
18.34442	21.23114	0.82172	24.38100 
26.37823	15.01952	1.49241	13.96133 
16.07170	0.27913	29.15922	14.91876 
