N1	N2	Na	Tsplit	M1	M2	propNtrlM1	propNtrlM2
15.33954	0.92348	11.87077	6.14837 	9.73378	7.10936	172	270
3.85803	4.80133	9.94127	16.86896 	21.84766	27.69091	51	64
16.53062	19.74620	2.47998	23.22379 	10.24756	5.83284	120	192
28.15335	12.50250	21.70411	24.29006 	18.01425	22.72768	47	525
1.93337	1.63379	17.49993	11.08996 	9.10068	19.84451	300	457
28.78966	6.82700	22.97265	26.90445 	26.82962	4.93005	483	456
24.70640	5.37013	12.84103	10.09544 	25.97990	18.43271	319	346
26.22109	15.48424	16.22816	18.57721 	10.86314	13.89604	321	15
20.25337	18.60982	2.22014	2.86867 	9.46593	14.10336	66	226
13.72161	17.19716	22.38851	25.40285 	3.91324	13.97707	291	114
6.63966	13.53011	28.03047	9.25168 	25.43313	8.64700	28	231
14.68102	24.85935	15.09960	18.18483 	19.17126	10.52228	161	282
5.13291	4.46852	29.52806	21.99908 	21.27293	18.97146	243	401
28.56271	29.12493	16.37608	2.33556 	24.51559	27.96772	311	174
8.45536	2.18002	20.61470	21.32333 	4.65906	14.57048	212	209
8.58390	18.82537	7.15629	21.46805 	21.46287	22.31948	324	192
3.53859	2.32522	25.62496	6.51353 	20.02404	0.22995	89	250
20.59681	25.63532	17.67341	28.32274 	3.92063	26.39674	233	11
6.01324	12.37580	11.29360	10.43990 	23.00023	18.06203	329	487
19.69169	17.13291	4.12488	13.42020 	4.34735	25.87570	247	536
4.35941	5.00645	0.07402	6.95940 	19.27104	21.63896	29	355
14.42298	5.76464	24.01147	4.63028 	4.35026	4.98638	104	369
18.75117	26.50361	6.64306	9.89341 	13.83865	14.77581	306	64
2.82914	5.05239	13.69690	10.34183 	17.69559	9.85028	30	131
28.03517	13.32988	6.41395	20.51723 	3.41899	9.50062	528	359
8.63380	10.74662	28.19087	1.49803 	5.37024	19.86262	535	21
9.31165	18.19931	27.27533	22.27667 	28.94866	16.39822	226	405
1.79528	0.73005	29.29628	29.15446 	14.97092	23.06153	414	456
20.00639	9.63707	26.70005	4.35298 	12.94411	17.93026	37	218
27.48261	18.33869	26.67736	13.54637 	3.66173	10.75841	361	254
2.63176	9.92123	12.15824	12.94681 	26.83059	10.30993	184	196
17.55302	11.44908	9.61424	14.63239 	17.11232	8.51952	392	12
8.44288	11.78077	19.44438	29.80174 	7.66776	2.03609	140	256
5.52796	16.27099	25.80922	26.08379 	28.31714	8.83022	174	463
18.00357	29.13822	15.28411	16.77752 	7.37435	17.73689	94	207
14.17735	9.19055	26.12325	9.97058 	0.17524	5.12425	207	257
29.57442	17.08861	8.97808	18.91444 	23.35930	28.50692	39	428
11.25760	16.73762	1.50527	23.56309 	13.97972	5.46809	462	279
8.98560	14.36848	7.56029	0.56894 	9.89416	14.52959	110	142
2.92016	25.22198	15.47142	2.98952 	9.37687	26.09186	126	411
22.98865	24.27577	16.50151	24.20561 	16.50923	26.09166	80	157
12.54101	17.04774	24.68150	29.58292 	27.29685	15.25179	53	475
16.32818	23.52826	3.99822	2.35560 	6.26311	21.87374	219	377
1.47336	11.60513	7.22200	15.90383 	21.11711	16.43626	125	522
15.62249	8.47803	8.10893	18.03326 	9.79612	17.76758	23	463
4.92120	22.51744	3.11513	15.84249 	23.85700	9.62457	75	318
15.79901	20.61093	29.85520	26.77783 	12.81397	19.54682	371	191
11.01694	5.22362	6.17120	6.92866 	16.06235	1.91274	351	166
12.22971	10.11678	21.50902	18.83740 	29.35052	4.49112	130	293
25.17820	3.55879	4.26495	19.30473 	14.37190	29.17042	103	297
7.05044	19.01166	1.23257	19.25028 	27.50619	14.89592	526	140
6.97412	3.50580	7.34763	24.13474 	24.78297	9.19563	414	325
8.53396	26.03496	7.45621	13.70684 	17.49651	9.22301	7	100
21.42354	22.33150	29.96550	12.87494 	5.40648	25.34993	393	466
28.01574	21.96109	17.12710	27.27559 	3.89998	5.46921	87	422
3.00792	9.29324	3.09129	27.65740 	7.42498	20.69120	389	485
26.14009	23.82190	5.71603	3.60295 	24.31621	9.34935	63	253
17.61779	26.79224	10.80362	26.62609 	7.67836	21.39439	203	165
5.90626	0.55801	6.68276	16.16136 	11.46455	23.71449	123	289
17.37638	11.84373	7.76717	15.70904 	7.38684	5.77342	240	294
24.74870	6.25856	17.63741	20.33404 	24.49260	28.00289	77	172
16.28235	16.78491	14.12539	12.94404 	7.86363	0.08271	110	425
10.77648	28.81537	2.58744	8.59328 	3.12362	12.26670	297	257
26.02810	3.48442	4.16388	21.96166 	6.20276	9.98704	136	114
3.18397	18.09967	6.33984	10.17155 	23.99769	19.29892	194	302
21.01835	1.41871	2.29953	25.77097 	22.62574	26.15118	481	136
4.65212	9.28617	8.58333	5.84684 	12.25213	13.73620	404	159
22.16094	29.31193	1.17094	10.22930 	2.74385	14.30312	208	430
25.26107	5.61489	27.70404	7.18787 	3.37030	10.20156	287	158
23.44482	19.90727	19.26311	25.11917 	24.00587	4.57277	176	254
9.83439	16.90254	22.95559	9.04030 	3.19300	2.70959	66	416
11.38450	18.28676	8.82475	7.11837 	11.54036	3.76687	196	319
26.47185	21.70085	5.53437	19.14710 	24.55846	18.63044	83	249
27.96827	2.88543	10.57696	28.78952 	22.69088	10.59323	305	408
12.45953	12.46095	19.67462	6.00127 	17.66229	27.39179	254	448
2.00927	16.02511	16.55747	11.86798 	21.61105	11.79135	403	385
14.49456	29.28047	5.72066	23.67634 	1.24246	10.99916	65	295
23.32711	23.73079	19.18036	7.74850 	29.12958	19.50044	111	86
15.79321	28.47207	10.06698	5.58323 	25.87985	16.21356	325	117
16.36458	7.80518	17.40062	16.77569 	13.38461	9.47266	72	488
19.64877	17.73724	22.73784	5.11434 	11.46792	10.50388	4	370
28.13229	19.76012	13.64145	1.91251 	0.29774	8.63899	510	189
6.71498	24.49290	23.49196	27.25228 	13.54215	0.41688	379	198
10.18912	11.19065	3.38801	4.94467 	18.57364	2.55208	77	485
9.95441	11.58482	20.72012	4.34390 	16.29146	6.27240	453	398
9.10186	13.15479	23.44124	0.65643 	26.32834	0.69315	226	311
12.01469	12.26758	1.79613	3.70693 	18.65122	6.97081	90	301
11.36444	26.08435	24.40191	4.04743 	11.02063	24.89023	478	443
26.43656	22.85549	20.42336	4.57213 	6.81204	23.52748	135	540
26.86027	16.12064	4.84898	28.96961 	1.46852	29.56962	18	236
18.97955	17.76843	15.98159	10.78983 	16.83897	12.94811	519	424
29.67115	16.04266	10.95867	25.20439 	28.03244	18.70726	333	387
6.96588	25.89839	13.57689	5.43344 	22.09723	1.49892	383	108
28.35538	20.02199	0.80849	14.03907 	26.41106	8.34560	456	463
26.57013	26.37325	4.93962	0.61058 	24.91780	26.89114	59	140
13.69057	1.88326	14.92827	15.00080 	13.15238	16.24986	274	5
5.03321	17.81002	20.86116	5.98930 	26.71195	23.92813	152	154
8.34899	11.66806	20.03853	6.30925 	22.69421	3.37416	155	424
23.82090	4.83377	0.97762	29.89115 	5.42728	29.34808	267	325
29.36581	26.53775	29.99979	14.45669 	21.87459	3.96958	368	48
29.74228	18.71552	4.41946	4.49864 	2.31485	17.57353	522	386
9.71104	29.26188	8.49715	29.49874 	1.43347	14.21514	81	261
17.88418	4.18474	1.92849	13.88097 	14.78302	26.26077	378	212
18.58417	12.79682	7.23896	26.17271 	11.71253	14.14274	273	487
27.83329	14.20307	4.25374	27.20884 	22.96077	25.64785	279	412
1.03297	26.80031	16.98274	0.34214 	15.88827	8.28988	294	222
12.79135	26.99086	13.35644	19.87336 	22.11069	24.69595	62	204
27.82751	1.64116	29.68251	12.40204 	21.15008	3.27231	87	100
14.21244	17.15300	15.42509	28.52739 	25.11726	3.67839	112	413
3.35597	1.38547	23.34040	17.11266 	11.29155	27.33957	2	140
12.49919	5.71486	0.01057	4.21951 	21.37587	9.93187	226	153
19.53377	29.97094	26.20564	25.20726 	29.84761	28.86536	152	288
19.84497	27.06384	7.02141	4.73953 	14.87965	4.39941	254	428
12.92002	28.29655	29.77941	20.67734 	25.94813	18.76771	323	42
23.02187	25.21294	2.27860	20.25487 	26.79855	24.94273	58	272
0.56723	0.12281	26.83584	28.21604 	18.28646	5.43323	439	534
19.97410	7.23321	15.92594	8.58043 	12.13864	20.37237	336	157
9.26788	12.69890	14.86913	23.29037 	18.33266	16.44499	395	132
20.94900	22.38482	7.23285	18.66206 	23.37523	9.97169	194	280
4.64130	12.42130	12.40458	19.25625 	3.01120	8.87707	198	497
5.70765	1.59759	17.64217	8.99668 	16.82111	7.61611	241	477
6.21312	13.35779	5.15520	24.80994 	26.88467	23.86413	508	450
19.31096	11.97118	23.17629	17.97720 	5.57132	20.72352	429	125
27.35975	12.53675	27.15681	0.75581 	7.83336	14.07509	86	270
23.78069	6.46805	23.89025	14.88729 	3.93773	27.56505	289	57
25.60081	21.40665	3.39356	21.62510 	16.26639	0.14428	314	441
2.61033	1.93622	8.64492	16.91867 	18.44623	22.71951	327	265
5.68541	16.03750	11.94460	24.84200 	14.86527	13.69132	388	392
14.84784	13.13662	11.14804	10.82904 	28.72617	21.57237	239	306
27.32161	21.82300	23.40665	2.82189 	11.58738	21.16276	179	100
23.46993	24.40489	22.99312	28.69149 	0.48247	22.72889	371	349
19.45404	12.11146	1.21820	17.93247 	26.36433	4.51691	492	313
1.17470	29.81282	10.44930	7.79732 	25.30577	28.95610	493	228
11.65775	18.20970	18.70381	8.56588 	13.94587	12.67184	407	486
15.19553	8.21601	1.22492	4.25601 	6.09248	20.68138	317	333
19.19110	4.25916	6.04453	2.56417 	2.02172	23.66227	495	144
24.27860	22.08499	0.20369	13.18082 	22.37772	29.65233	90	298
10.40308	12.78081	11.61401	7.80446 	15.54234	23.52184	56	73
18.56755	18.12760	29.20595	6.83435 	20.89923	29.76376	251	467
5.66406	0.32543	24.70972	6.55192 	29.49249	12.11633	526	360
12.32574	8.42448	17.79226	2.46455 	18.93972	29.28437	270	21
8.47952	18.98427	10.21104	24.41545 	29.41579	6.56988	299	214
24.77731	4.82258	7.13939	19.73913 	3.35011	8.90553	339	376
28.92139	28.89972	6.85306	4.99252 	4.49855	2.40879	50	390
4.24721	5.51307	2.19887	23.35200 	13.72567	3.52816	331	209
20.67377	12.00158	5.78024	0.88864 	2.59718	15.94001	320	2
2.22105	26.68436	23.51439	16.50873 	14.91255	2.69862	321	399
29.37732	29.35186	23.23310	9.85037 	7.36155	3.61013	257	406
14.57334	13.46480	10.66699	25.84711 	26.77938	14.41936	127	328
29.17705	28.83677	4.97969	8.97960 	11.58939	11.15047	440	34
2.43883	3.48305	22.07857	12.45173 	12.70141	18.59986	513	23
19.83202	5.42833	27.24101	28.73797 	10.77354	17.11965	498	344
4.54733	19.83814	5.04547	19.73691 	0.89930	9.71111	496	433
17.05366	10.99817	16.13511	19.05806 	17.27572	17.39384	489	507
23.92414	21.60963	23.65955	28.58988 	10.73087	2.78184	483	382
8.26777	3.66121	1.28212	12.71357 	7.39880	17.56287	416	112
13.05011	14.59633	21.14407	20.38644 	3.38956	27.36211	206	503
15.42255	25.30307	21.24677	12.66632 	21.57175	20.75908	441	107
16.73790	7.33914	16.20272	20.15087 	8.81013	14.27969	23	34
13.62742	13.28428	11.72546	5.50609 	20.37601	24.44305	539	289
13.04227	18.57881	22.48192	22.14321 	28.75323	22.32262	149	175
4.09880	19.23264	20.93426	8.08093 	17.17161	8.07786	436	100
13.44199	0.80001	13.55682	19.63358 	7.18987	28.81381	386	333
8.14619	1.90844	17.15399	9.70741 	9.82377	21.15816	185	456
22.54943	9.79447	13.57560	20.37440 	4.78187	22.55051	263	499
21.21041	16.70510	29.78759	4.74365 	25.90934	0.39794	81	69
26.18964	0.14031	16.05638	28.84863 	17.19334	3.52860	363	434
1.93007	6.99295	18.19974	27.83630 	1.83677	4.87084	123	349
3.05401	19.45524	25.45010	23.58871 	2.83103	27.99765	66	490
5.18503	21.67036	7.52925	27.31741 	11.85571	7.45248	152	504
15.19062	9.08696	1.72691	10.43371 	13.36558	18.79339	531	170
0.33166	15.56556	21.00956	12.32728 	13.60200	13.26380	413	131
16.00073	18.99849	0.29125	27.57968 	19.19374	1.29569	154	330
11.21457	14.22172	16.11007	28.81689 	1.35578	21.67069	408	12
3.93887	17.40339	14.57063	1.20355 	14.76542	25.02528	418	261
1.89874	2.29934	9.28481	4.61180 	12.50888	27.71237	484	28
6.51229	29.90236	9.48296	0.38028 	19.56039	0.63075	355	489
16.00741	13.39057	13.21290	11.58970 	24.99329	22.46631	367	516
15.03477	23.84644	13.57369	12.79739 	21.46135	27.20377	350	346
21.08109	12.62875	6.35815	3.65899 	28.34048	27.03756	485	94
26.69171	21.17503	8.09010	6.20077 	18.60754	24.66769	278	445
15.78318	27.60985	10.48591	14.94673 	13.41579	8.98391	98	31
22.86497	15.24748	7.10160	12.31498 	3.31084	23.07850	520	270
19.35239	17.41515	28.32214	22.79428 	21.89739	27.42088	207	524
2.74824	28.24941	20.28776	12.96081 	29.72614	1.59493	513	393
22.01141	14.94030	9.17022	4.31764 	5.61083	14.12922	352	428
28.46377	28.58347	3.04616	16.94755 	12.11255	21.08733	299	530
11.70639	7.85627	29.44524	27.58111 	16.91392	29.31992	198	330
9.66207	3.17284	7.01398	26.61558 	12.48231	11.39335	74	534
0.47223	13.17620	22.38542	14.75993 	3.53412	24.24480	467	194
18.51209	1.19814	11.73046	25.28044 	25.35395	6.89526	143	256
5.41001	8.60999	3.24376	28.78557 	29.37602	21.41667	9	335
24.02885	5.10381	12.29966	11.43925 	15.67040	9.20403	353	275
21.24276	5.08024	27.13186	28.11503 	13.41019	9.67817	110	303
14.79297	17.40680	25.93351	5.64788 	5.56955	15.67981	372	99
16.00003	12.87350	26.79372	24.43221 	23.79139	4.89709	469	365
18.50751	16.48982	7.55804	14.05467 	8.90523	29.71126	472	80
16.56070	7.40762	7.25758	13.03160 	29.91611	14.65918	167	274
7.18536	10.62963	6.16362	16.62034 	19.53987	28.12966	38	267
13.27984	14.91086	16.30048	27.02931 	13.25603	12.17466	184	343
3.89089	1.56435	15.07408	15.74525 	9.26524	2.82052	0	280
9.00338	18.68362	10.56786	6.56203 	17.52724	21.74463	342	341
11.53850	19.24133	6.07143	13.56788 	3.75182	19.89778	208	169
5.77376	26.73411	5.60615	20.79073 	1.76084	23.99676	180	256
12.63772	17.71757	24.81820	16.01881 	16.55186	19.39158	273	121
27.95590	8.61193	8.19265	17.83566 	21.21425	8.79566	104	368
20.09193	9.59177	21.76678	5.97049 	4.54145	12.77969	506	373
28.69441	24.77960	14.20793	13.92567 	5.93577	0.05329	173	209
20.66327	0.11958	29.43091	16.35909 	1.67636	0.83989	519	493
1.96999	14.98187	27.25542	20.21828 	10.10094	0.48935	32	68
25.95584	2.48547	18.77861	8.71430 	12.01676	10.24544	311	79
14.92303	29.72284	12.72162	15.65555 	27.23290	9.17754	341	282
27.75370	23.53987	9.90434	19.91048 	25.18437	24.52762	268	410
23.08503	28.72341	12.18797	9.07395 	11.96956	7.17219	403	258
13.59684	27.91222	3.41653	9.54715 	8.88044	28.10851	125	239
23.80191	15.62929	7.43682	1.62272 	3.10078	2.86273	246	60
15.83740	25.43181	27.47299	25.59173 	14.79232	11.29295	135	257
15.35121	22.99456	8.70405	17.71760 	6.08193	22.28247	491	69
26.81524	24.65372	23.25973	18.27357 	18.57394	6.46126	349	491
10.41369	8.66861	26.19909	18.16684 	9.63215	9.54416	271	96
7.81535	6.18310	20.67983	14.72525 	28.33397	7.08857	470	275
16.25696	27.37392	17.94650	10.04903 	6.72654	17.59239	24	473
5.85156	24.68729	13.71711	8.56180 	19.05155	5.92413	171	527
6.71663	0.31096	1.84819	22.39379 	23.92056	0.21666	73	327
6.75502	28.35669	24.39223	22.29318 	27.78435	18.15691	142	514
13.93776	28.02032	27.82896	5.02193 	8.25685	16.30313	147	120
0.31109	22.81933	9.58969	0.20637 	3.24575	10.44478	390	195
23.18296	20.01887	23.81762	17.76014 	19.16681	24.38634	467	524
15.95791	0.29704	22.45680	21.98666 	1.36182	6.27489	420	476
18.56072	26.00769	19.72455	27.65507 	25.11014	24.82981	465	51
5.53257	20.81483	9.95554	5.27098 	21.54512	13.41984	415	397
5.77509	13.41983	9.95651	13.87255 	4.78790	13.34543	163	153
22.60984	11.91373	0.93797	14.64804 	0.49602	8.68012	311	390
17.01357	18.48684	13.55585	26.61938 	14.65006	10.70060	209	311
7.28369	17.78719	6.55676	21.01142 	9.19685	19.57991	404	355
27.93776	9.34742	17.95065	8.28070 	19.31976	10.18488	281	204
19.64287	17.57260	1.16617	11.87604 	1.13632	5.54058	492	390
3.56004	4.85841	23.65329	12.90492 	22.52064	15.28756	389	507
5.93911	1.47220	27.61810	17.76899 	1.26982	2.24989	211	472
1.66397	15.62480	3.25527	17.16051 	12.49603	13.18959	268	312
20.56879	0.92411	10.54441	7.16544 	29.27442	9.62006	277	13
17.89731	20.62203	6.79026	7.44509 	27.28207	16.64829	343	448
27.44182	26.01744	20.14789	5.12416 	6.87237	23.34355	482	150
23.56522	5.28252	6.21347	2.06743 	28.90293	26.76098	86	448
4.19717	11.85346	6.34853	27.05314 	14.43178	15.73460	535	215
10.39409	0.45482	13.45784	12.47427 	14.30395	19.00714	50	328
29.72015	21.38934	16.08768	26.31828 	11.39702	3.03992	347	435
24.50068	22.20296	13.74897	25.94210 	2.98422	10.68880	201	373
7.61985	21.59134	18.34013	17.15069 	24.78445	5.96935	111	380
13.62453	21.13894	0.26387	26.04961 	2.09582	23.01934	60	119
2.68822	26.71773	13.37342	7.61032 	8.66812	8.29516	509	291
14.97497	2.02263	2.21048	25.71651 	19.22733	9.52292	354	320
1.68739	14.01347	19.97331	10.40494 	12.03076	21.25969	218	469
25.25526	2.08064	29.59851	17.14519 	16.63826	26.14701	178	227
26.64776	21.19335	28.17720	29.53316 	4.41121	14.46049	188	511
26.20465	1.96196	10.00273	4.94439 	12.87069	22.12720	87	211
28.95872	17.61656	12.04756	5.18845 	1.35593	18.24555	201	352
11.89602	29.39377	29.24817	20.02193 	21.01806	11.13865	236	141
7.75079	0.86008	5.29340	15.43796 	7.81273	13.21363	377	49
15.94437	29.07021	18.37252	27.47397 	16.90765	22.74752	124	24
0.74535	24.10543	3.86610	18.08752 	25.75777	21.11591	252	37
27.82959	21.12950	24.74987	13.17788 	29.47912	29.09828	427	200
18.15246	26.80335	0.82137	1.64120 	16.38406	0.54899	393	150
11.00693	27.88443	4.78073	4.90392 	11.81535	5.37126	41	254
17.46264	2.75389	17.73160	26.96997 	24.43047	18.96138	166	523
