spA	spB	netDiv	nLocus	quantile_5%_alphaM1	median_alphaM1	quantile_95%_alphaM1	quantile_5%_alphaM2	median_alphaM2	quantile_95%_alphaM2	medianM1	medianM2	medianT	medianN1	medianN2	medianNanc
Pectinaria_koreniSUD	Pectinaria_koreniNOR	0.0621299	65	0.645509741729	3.52212234749	7.53798188968	3.28276960406	5.95770756905	8.18949911529	24.2265024123	1.25889080795	3.51895154338	2.86384968601	0.277485772153	2.26774961163
Sepia_officinalisBRE	Sepia_officinalisITA	0.0054956	247	110.915772793	165.7341167	204.148306153	113.357834198	121.648755249	130.584997053	7.74742441472	4.05444438735	3.38177456433	0.138180823411	0.178728694689	3.74110123153
Sepia_officinalisSET	Sepia_officinalisBRE	0.0037353	304	22.0294333513	244.407702234	300.800275168	236.072974835	297.727897364	302.470519618	13.0517329372	14.9265266529	9.40091934103	0.0921223424512	0.0723974560075	9.23876771248
Sepia_officinalisSET	Sepia_officinalisITA	0.0022017	200	72.7895694108	155.075682603	188.060664446	42.4440099232	114.947281209	169.99961792	10.3563550883	13.5431613025	1.60857823462	0.148069050141	0.213242434205	0.567382814611
Abatus_cordatus	Abatus_agassizi	0.0389727	300	13.3490754445	248.600426648	294.223059413	0.201690352945	26.1128520676	176.468080179	5.33117761279	16.6623923117	5.40259667483	0.0224995752159	0.771870301783	11.7645476622
Abatus_cordatusHTE	Abatus_cordatusHAL	0.0009508	111	33.9606677914	96.3215927908	107.836546568	76.8837238043	100.338946014	107.502151891	24.2255026449	21.6417422193	7.28790956091	0.662640346142	0.303900180452	11.1415787179
Allolobophora_L2a	Allolobophora_L2bESP	0.0492278	900	12.5603635282	27.2319970899	42.9227786679	63.1684357724	90.0949674618	113.928616022	24.0822329897	14.8078341734	1.34317396533	1.94943171448	1.59372183348	4.02563995153
Allolobophora_L2bESP	Allolobophora_L1	0.0543968	900	414.148934182	658.494436699	768.189650844	15.4513166417	64.101477645	143.55693883	0.720177558802	26.4825566755	4.5285998713	1.21552441524	4.38487528918	11.2492022286
Armadillidium_vulgareAM	Armadillidium_vulgareEU	0.0038734	900	79.6556624146	497.653804482	840.442352976	127.309106343	650.528234904	864.515510927	4.41013746715	9.34960644067	1.21195827402	1.22437952766	1.89532519624	5.29830908898
Artemia_franciscanaCH	Artemia_franciscanaAMN	0.0059039	900	3.92474045233	307.361743756	863.5227348	0.327667783464	102.159939313	855.600808133	22.111929885	9.89691650915	0.334000446111	0.303471526328	2.97684828943	0.881404887463
Artemia_franciscanaFR	Artemia_franciscanaAMN	0.0078918	512	75.1358942116	242.527465109	387.350266954	0.058136075498	385.863202867	510.98043596	6.98814671997	7.07468599244	1.51907196211	0.487623530067	0.994446815764	3.23664554845
Artemia_franciscanaFR	Artemia_franciscanaCH	0.0100855	451	48.7030657195	377.184615427	446.650221707	150.295657514	388.541416244	444.066789125	5.14022782804	1.28903197245	6.6529709819	0.221584516119	0.279468100672	8.87782633
Caenorhabditis_brenneriIND	Caenorhabditis_brenneriGUY	0.0060469	71	7.27366429018	38.5977883188	64.6206767387	14.7279555132	59.0057482537	68.5714419572	11.7536317365	13.7796669629	5.25036784721	1.84864721426	12.1517391124	3.91416000059
Caenorhabditis_brenneri	Caenorhabditis_sp10	0.3048995	122	0.380789429477	4.04957952746	10.7202686762	0.425055284166	4.54625799067	10.9843707807	14.5708045367	19.61082526	7.73351552444	1.98349872131	3.623782428	18.6098766336
Necora_puberATL	Liocarcinus_depurator	0.2168920	900	51.6432505061	103.964264828	134.712794115	11.7297996303	24.6821981504	32.2292445368	3.62024760829	29.1230081885	3.80629287484	0.104065105313	0.459321847874	24.4229365753
cioneA	cioneB	0.144412103407756	852	4.48845850598	205.306032299	768.014435614	11.9517058518	83.4603669085	257.478127243	0.28345218252	4.74260973188	13.915790527	2.35340092177	14.3586268102	21.8491062674
Culex_pipiensTRO	Culex_pipiensMED	0.0275682	382	5.41668539661	25.6475371452	62.9813126107	13.6084766587	79.8882712883	204.331825644	10.3425614892	16.9207602871	1.42500217867	1.39272778682	4.7812953002	1.29120147185
Culex_pipiensTRO	Culex_torrentium	0.0892726	398	50.1564588788	167.607919129	246.513679794	75.258938155	182.560790808	254.636854579	0.413874612467	0.83152504555	9.94605898356	1.66265777366	1.11112269231	7.65516794989
Echinocardium_mediterraneumEST	Echinocardium_mediterraneumWES	0.0002895	900	489.243924598	804.829038944	879.309238392	266.02600202	758.162013997	881.181998642	19.3710792233	18.1442301971	0.845379957727	7.13889336631	2.87693985319	1.46647569554
Eudyptes_filholi	Eudyptes_moseleyi	0.0064477	302	74.0151245385	207.540025014	272.827983156	85.2993195756	252.377107185	292.984575654	9.22122634997	22.4372333698	3.29726923097	0.728286639691	0.0680348277248	5.24990690682
CioneBfrance	CioneBcanada	0.0020040	599	586.058968905	594.585343001	597.07748705	58.9284743963	287.630442924	541.597830788	16.4462198235	17.408770391	4.55638190542	7.62079644427	1.5972233206	0.336890011429
Artemia_franciscana	Artemia_sinica	0.1139469	900	23.0940702286	93.7187761962	159.567180085	61.2341374782	168.817993283	262.557700535	4.94455475184	12.4064639254	4.93141782553	0.519788525803	0.127887455037	8.87189610094
